Brewery,Address,Website,Latitudes,Longitudes
Equinox Brewing,"133 Remington Street, Fort Collins, CO 80524",http://www.equinoxbrewing.com,40.5863427,-105.0758754
Pug Ryan's Steak House Brewery,"104 Village Pl., Dillon, CO 80435",https://www.pugryans.com,39.6280098,-106.0464297
Blue Moon Brewing Co. at the Sandlot,"2161 Blake Street, Denver, CO 80205",http://millercoorsblog.com,39.7557012,-104.9927357
Odell Brewing Company,"800 E. Lincoln Ave, Fort Collins, CO 80524",http://www.odellbrewing.com/,40.589475,-105.0633218
Vail Brewing Company,"41290 B-2 & B-3 US HWY 6, Vail, CO 81657",http://vailbrewingco.com,39.6205753,-106.4696229
5030Local,"1480 Cascade Ave., Loveland, CO 80538",https://www.5030local.com/,40.4077516,-105.1297786
Cabin Creek Brewing,"577 Twenty-Second Street, Georgetown, CO 80444",https://www.cabincreekbrewing.com/,39.7249177,-105.6933808
Yak & Yeti - Westminster,"8665 N. Sheridan Blvd., Westminster, CO 80003",http://theyakandyeti.com,39.8541609,-105.0536492
Avery Brewing Company,"4910 Nautilus Ct., Boulder, CO 80301",http://www.averybrewing.com,40.0625885,-105.2047632
Mother Tucker Brewery,"1132 W Dillon Road, Louisville, CO 80027",https://www.mothertuckerbrewery.com/,39.9616196,-105.1672438
Gravity Brewing,"1150 Pine Street, Unit B, Louisville, CO 80027",http://thegravitybrewing.com/,39.9760918,-105.1286822
Crazy Mountain Brewery,"471 Kalamath St., Denver, CO 80204",http://crazymountainbrewery.com,39.7237459,-105.0004981
Storybook Brewing,"3121 A North El Paso Street, Colorado Springs, CO 80907",http://storybookbrewing.com,38.8777333,-104.8124822
Floodstage Ale Works,"170 S. Main Street, Brighton, CO 80601",https://www.facebook.com/floodstagealeworks/,39.9840162,-104.8218867
Grossen Bart Brewery,"1025 Delaware Avenue, Longmont, CO 80501",http://www.grossenbart.com,40.1544152,-105.1092344
The Colorado Farm Brewery,"2070 County Road 12 South, Alamosa, CO 81101",https://www.cofarmbeer.com/,37.399617,-105.9977438
